Name	County	Address	Eircode	LatitudeDD	LongatudeDD	Capacity	Tag
Bushy Park Nursing Home	Tipperary	Nenagh Road, Borrisokane	E45TX95	52.9882963	-8.1332099	34	bushy-park-nursing-home
Caherass Nursing Home	Limerick	Caherass, Croom	V35RP28	52.536942	-8.718317	50	caherass-nursing-home
Cahercalla Community Care	Clare	Cahercalla Road, Ennis	V95NR59	52.8328995	-9.0038016	112	cahercalla-community-care
Caherciveen Community Hospital	Kerry	Caherciveen	V23PW84	51.9419749	-10.2344962	33	caherciveen-community-hospital
Cahereen Residential Care Centre	Cork	Codrum, Macroom	P12ND25	51.9073185	-8.9950017	27	cahereen-residential-care-centre
Cairnhill Nursing Home	Wicklow	Herbert Road, Bray	A98VF88	53.1988139	-6.1258319	93	cairnhill-nursing-home
Caiseal Geal Teach Altranais	Galway	School Road, Castlegar	H91P2K1	53.2995682	-9.0173841	42	caiseal-geal-teach-altranais
Cara Care Centre	Dublin	Northwood Park, Santry	D09HW01	53.4019053	-6.2581809	102	cara-care-centre
CareBright Community	Limerick	Ardykeohane, Bruff	V35H922	52.4762825	-8.5417885	18	carebright-community
CareChoice Ballynoe	Cork	Whites Cross	T23VH39	51.9418132	-8.4523229	46	carechoice-ballynoe
CareChoice Clonakilty	Cork	Clogheen, Clonakilty	P85PX09	51.6175447	-8.9043989	50	carechoice-clonakilty
Carechoice Dungarvan	Waterford	The Burgery, Dungarvan	X35DE02	52.0999649	-7.6046737	109	carechoice-dungarvan
CareChoice Finglas	Dublin	Finglas Road, Tolka Valley, Finglas	D11X4YP	53.3820472	-6.2920894	89	carechoice-finglas
CareChoice Macroom	Cork	Gurteenroe, Macroom	P12VW62	51.9050618	-8.9724149	62	carechoice-macroom
CareChoice Malahide	Dublin	Mayne River Street, Northern Cross, Malahide Road	D17YF77	53.405691	-6.1802238	165	carechoice-malahide
Carechoice Montenotte	Cork	Middle Glanmire Road, Montenotte	T23A583	51.9066584	-8.4420985	111	carechoice-montenotte
